,patchName,count,diffCount,editCount,subCount,addCount,annotationCount,haveTime,haveIndex,maxChangeLine,editTime,size
0,patch-2.6.0,43,1,10,9,25,9,True,False,34,2003-12-18 11:00:08,34410
1,patch-2.6.1,998,11,23,15,134,0,True,False,38,2004-01-09 15:00:25,4466134
2,patch-2.6.10,5384,18,129,364,970,63,True,False,343,2004-12-25 05:37:55,28276031
3,patch-2.6.11,5662,22,101,234,467,41,True,False,133,2005-03-02 15:39:33,22588418
4,patch-2.6.11.1,3,1,1,0,4,0,True,False,4,2005-03-05 01:27:15,1483
5,patch-2.6.11.10,65,1,1,0,4,0,True,False,4,2005-05-17 02:14:17,60884
6,patch-2.6.11.11,82,1,1,0,4,0,False,False,4,2005-05-27 13:51:21,75804
7,patch-2.6.11.12,93,1,1,0,4,0,False,False,4,2005-06-12 10:49:29,84064
8,patch-2.6.11.2,4,1,1,0,4,0,True,False,4,2005-03-13 13:16:32,2098
9,patch-2.6.11.3,21,1,1,0,4,0,True,False,4,2005-03-13 14:45:03,15543
10,patch-2.6.11.4,23,1,1,0,4,0,True,False,4,2005-03-16 08:09:56,16315
11,patch-2.6.11.5,31,1,1,0,4,0,True,False,4,2005-03-19 14:35:10,22246
12,patch-2.6.11.6,36,1,1,0,4,0,True,False,4,2005-03-26 11:28:57,29603
13,patch-2.6.11.7,47,1,1,0,4,0,True,False,4,2005-04-08 02:58:58,40740
14,patch-2.6.11.8,59,1,1,0,4,0,True,False,4,2005-04-30 09:43:34,51527
15,patch-2.6.11.9,62,1,1,0,4,0,True,False,4,2005-05-12 06:43:53,54940
16,patch-2.6.12.1,4,0,0,0,0,0,False,False,0,2005-06-23 03:38:25,3698
17,patch-2.6.12.2,11,0,0,0,0,0,False,False,0,2005-06-30 07:06:01,11946
18,patch-2.6.12.3,26,0,0,0,0,0,False,False,0,2005-07-16 05:34:46,30086
19,patch-2.6.12.4,39,0,0,0,0,0,False,False,0,2005-08-05 15:10:32,36963
20,patch-2.6.12.5,52,0,0,0,0,0,False,False,0,2005-08-15 08:21:59,47362
21,patch-2.6.12.6,58,0,0,0,0,0,False,False,0,2005-08-30 00:57:12,50947
22,patch-2.6.13.1,16,0,0,0,0,0,False,False,0,2005-09-10 10:44:30,12911
23,patch-3.0.10,846,12,31,42,106,5,False,False,40,2011-11-22 07:11:23,1240766
24,patch-3.0.100,2554,23,72,104,291,5,False,False,74,2013-10-14 06:12:28,4372702
25,patch-3.0.101,2557,23,72,104,291,5,False,False,74,2013-10-22 19:22:16,4375714
26,patch-3.0.11,881,12,31,42,106,5,False,False,40,2011-11-27 20:29:19,1298645
27,patch-3.0.12,881,12,31,42,106,5,False,False,40,2011-11-29 06:58:55,1297859
28,patch-3.0.13,937,12,31,42,106,5,False,False,40,2011-12-10 01:17:04,1373867
29,patch-3.0.14,970,12,32,43,107,5,False,False,42,2011-12-22 05:51:21,1433251
30,patch-3.0.15,969,12,32,43,107,5,False,False,42,2012-01-04 03:00:36,1432765
31,patch-3.0.16,1026,12,32,43,107,5,False,False,42,2012-01-07 08:30:31,1533668
32,patch-3.0.17,1053,12,32,43,107,5,False,False,42,2012-01-13 04:20:05,1573115
33,patch-3.0.18,1126,14,35,45,134,5,False,False,42,2012-01-26 09:34:22,1678607
34,patch-3.0.19,1152,14,35,45,134,5,False,False,42,2012-02-04 01:37:22,1746165
35,patch-3.0.20,1156,14,35,45,134,5,False,False,42,2012-02-07 02:04:20,1752618
36,patch-3.0.21,1204,14,35,45,134,5,False,False,42,2012-02-14 03:27:18,1850598
37,patch-3.0.22,1216,14,35,45,134,5,False,False,42,2012-02-21 06:09:39,1859205
38,patch-3.0.23,1265,14,35,45,134,5,False,False,42,2012-03-01 08:44:15,1949790
39,patch-3.0.24,1326,15,39,52,151,5,False,False,52,2012-03-13 02:08:17,2066426
40,patch-3.0.25,1346,15,39,52,151,5,False,False,52,2012-03-20 00:12:37,2100628
41,patch-3.0.26,1351,15,39,52,151,5,False,False,52,2012-03-24 05:05:30,2105997
42,patch-3.0.27,1422,18,50,75,204,5,False,False,52,2012-04-04 06:07:02,2228015
43,patch-3.0.28,1451,18,50,75,204,5,False,False,52,2012-04-14 00:55:29,2271515
44,patch-3.0.29,1478,18,51,75,206,5,False,False,52,2012-04-23 07:35:56,2332550
45,patch-3.0.30,1517,18,51,75,206,5,False,False,52,2012-04-28 00:59:35,2386528
46,patch-3.0.31,1543,18,51,75,206,5,False,False,52,2012-05-08 00:15:49,2435332
47,patch-3.0.32,1578,18,52,75,208,5,False,False,52,2012-05-22 01:50:39,2487551
48,patch-3.0.33,1603,18,53,76,209,5,False,False,52,2012-06-05 02:30:12,2536215
49,patch-3.0.34,1624,18,53,76,209,5,False,False,52,2012-06-10 01:33:41,2575520
50,patch-3.0.35,1641,18,53,76,209,5,False,False,52,2012-06-18 02:35:15,2598953
51,patch-3.0.36,1644,18,53,76,209,5,False,False,52,2012-06-23 02:41:40,2609690
52,patch-3.0.37,1673,18,57,78,221,5,False,False,52,2012-07-17 00:29:23,2662749
53,patch-3.0.38,1683,18,57,78,221,5,False,False,52,2012-07-20 03:26:59,2687936
54,patch-3.0.39,1703,20,60,80,226,5,False,False,52,2012-08-02 03:44:59,2760963
55,patch-3.0.40,1729,20,60,80,226,5,False,False,52,2012-08-09 23:44:08,2803455
56,patch-3.0.41,1760,20,60,80,226,5,False,False,52,2012-08-16 03:13:25,2858416
57,patch-3.0.42,1765,20,60,80,226,5,False,False,52,2012-08-27 07:47:48,2892656
58,patch-3.0.43,1787,20,60,80,226,5,False,False,52,2012-09-15 06:42:30,2928466
59,patch-3.0.44,1850,20,60,80,229,5,False,False,52,2012-10-03 01:33:46,3047477
60,patch-3.0.45,1863,20,65,98,267,5,False,False,66,2012-10-07 23:38:42,3070415
61,patch-3.0.46,1901,20,65,98,267,5,False,False,66,2012-10-13 05:10:48,3156048
62,patch-3.0.47,1931,20,65,98,267,5,False,False,66,2012-10-22 00:29:47,3202961
63,patch-3.0.48,1931,20,65,98,267,5,False,False,66,2012-10-22 23:43:46,3202725
64,patch-3.0.49,1941,20,65,98,267,5,False,False,66,2012-10-29 01:09:34,3241445
65,patch-3.0.5,559,6,16,8,52,0,False,False,29,2011-10-23 14:59:10,774121
66,patch-3.0.50,1956,20,65,98,267,5,False,False,66,2012-11-01 01:07:14,3265612
67,patch-3.0.51,1963,20,65,98,267,5,False,False,66,2012-11-05 16:53:29,3275337
68,patch-3.0.52,1989,20,65,98,267,5,False,False,66,2012-11-18 05:29:20,3335812
69,patch-3.0.53,2013,20,65,98,267,5,False,False,66,2012-11-27 04:21:36,3380149
70,patch-3.0.54,2036,20,66,99,274,5,False,False,74,2012-12-04 05:56:58,3409078
71,patch-3.0.55,2036,20,66,99,274,5,False,False,74,2012-12-06 10:49:10,3409311
72,patch-3.0.56,2041,20,66,99,274,5,False,False,74,2012-12-11 02:52:50,3414612
73,patch-3.0.57,2050,20,66,99,274,5,False,False,74,2012-12-18 03:08:38,3438738
74,patch-3.0.58,2075,20,66,99,274,5,False,False,74,2013-01-12 08:08:11,3485601
75,patch-3.0.59,2132,21,67,99,282,5,False,False,74,2013-01-18 00:57:59,3591218
76,patch-3.0.6,559,6,16,8,52,0,False,False,29,2011-10-23 15:51:12,774624
77,patch-3.0.60,2143,21,67,99,282,5,False,False,74,2013-01-22 03:57:17,3607858
78,patch-3.0.61,2150,21,67,99,282,5,False,False,74,2013-02-01 01:05:54,3623722
79,patch-3.0.62,2159,21,67,99,282,5,False,False,74,2013-02-04 11:32:17,3633646
80,patch-3.0.63,2164,21,67,99,282,5,False,False,74,2013-02-12 01:40:46,3655660
81,patch-3.0.64,2171,21,67,99,282,5,False,False,74,2013-02-15 03:13:08,3694534
82,patch-3.0.65,2173,21,67,99,282,5,False,False,74,2013-02-18 02:58:31,3696751
83,patch-3.0.66,2174,21,67,99,282,5,False,False,74,2013-02-22 02:09:16,3698011
84,patch-3.0.67,2215,21,67,99,282,5,False,False,74,2013-02-28 22:37:11,3756512
85,patch-3.0.68,2227,21,67,99,282,5,False,False,74,2013-03-04 06:16:41,3787606
86,patch-3.0.69,2241,22,68,100,283,5,False,False,74,2013-03-15 02:52:40,3800324
87,patch-3.0.7,587,12,28,29,85,5,False,False,34,2011-10-23 15:57:32,814531
88,patch-3.0.70,2251,22,69,100,287,5,False,False,74,2013-03-21 04:02:44,3808684
89,patch-3.0.71,2275,22,69,100,287,5,False,False,74,2013-03-29 03:18:01,3858967
90,patch-3.0.72,2312,22,69,100,287,5,False,False,74,2013-04-06 01:47:51,3935195
91,patch-3.0.73,2326,22,69,100,287,5,False,False,74,2013-04-13 01:43:07,3949201
92,patch-3.0.74,2334,22,69,100,287,5,False,False,74,2013-04-17 13:27:33,3965673
93,patch-3.0.75,2344,22,69,100,287,5,False,False,74,2013-04-26 13:16:58,3989854
94,patch-3.0.76,2357,22,69,100,287,5,False,False,74,2013-05-02 00:44:19,4020903
95,patch-3.0.77,2378,22,69,100,287,5,False,False,74,2013-05-08 12:14:39,4042184
96,patch-3.0.78,2382,22,69,100,287,5,False,False,74,2013-05-12 04:50:02,4051798
97,patch-3.0.79,2401,23,70,100,288,5,False,False,74,2013-05-20 01:51:05,4081128
98,patch-3.0.8,618,12,28,29,85,5,False,False,34,2011-10-25 13:14:35,857458
99,patch-3.0.80,2404,23,70,100,288,5,False,False,74,2013-05-25 02:16:12,4083577
100,patch-3.0.81,2419,23,70,100,288,5,False,False,74,2013-06-08 04:02:56,4103448
101,patch-3.0.82,2427,23,70,100,288,5,False,False,74,2013-06-14 00:45:31,4117597
102,patch-3.0.83,2430,23,70,100,288,5,False,False,74,2013-06-21 03:16:52,4123951
103,patch-3.0.84,2434,23,70,100,288,5,False,False,74,2013-06-28 01:46:45,4139205
104,patch-3.0.85,2438,23,70,100,288,5,False,False,74,2013-07-04 02:15:42,4147780
105,patch-3.0.86,2443,23,70,100,288,5,False,False,74,2013-07-14 01:44:49,4152329
106,patch-3.0.87,2449,23,70,100,288,5,False,False,74,2013-07-22 09:38:04,4163729
107,patch-3.0.88,2464,23,70,100,288,5,False,False,74,2013-07-29 07:33:45,4196970
108,patch-3.0.89,2474,23,70,100,288,5,False,False,74,2013-08-04 17:17:15,4224239
109,patch-3.0.9,823,12,29,30,86,5,False,False,34,2011-11-12 04:44:41,1213712
110,patch-3.0.90,2479,23,70,100,288,5,False,False,74,2013-08-12 10:04:43,4239012
111,patch-3.0.91,2484,23,70,100,288,5,False,False,74,2013-08-15 14:07:10,4249642
112,patch-3.0.92,2491,23,70,100,288,5,False,False,74,2013-08-20 23:24:17,4259845
113,patch-3.0.93,2491,23,70,100,288,5,False,False,74,2013-08-21 01:28:10,4264261
114,patch-3.0.94,2498,23,70,100,288,5,False,False,74,2013-08-30 01:58:02,4271030
115,patch-3.0.95,2502,23,70,100,288,5,False,False,74,2013-09-08 13:32:27,4277543
116,patch-3.0.96,2512,23,70,100,288,5,False,False,74,2013-09-14 21:57:33,4290558
117,patch-3.0.97,2523,23,70,100,288,5,False,False,74,2013-09-27 08:01:36,4311885
118,patch-3.0.98,2526,23,70,100,288,5,False,False,74,2013-10-02 00:05:30,4319626
119,patch-3.0.99,2528,23,72,104,291,5,False,False,74,2013-10-05 22:06:21,4332943
120,patch-3.1.1,283,2,5,8,12,0,False,False,18,2011-11-12 04:44:15,403839
121,patch-3.1.10,693,3,6,9,22,0,False,False,18,2012-01-18 23:42:05,936879
122,patch-3.1.2,316,2,5,8,12,0,False,False,18,2011-11-22 07:11:09,433619
123,patch-3.1.3,367,2,5,8,12,0,False,False,18,2011-11-27 21:29:32,497733
124,patch-3.1.4,367,2,5,8,12,0,False,False,18,2011-11-29 06:59:15,496947
125,patch-3.1.5,478,2,5,8,12,0,False,False,18,2011-12-10 01:21:49,645570
126,patch-3.1.6,527,2,5,8,12,0,False,False,18,2011-12-22 05:51:26,717675
127,patch-3.1.7,526,2,5,8,12,0,False,False,18,2012-01-04 03:00:29,717189
128,patch-3.1.8,613,2,5,8,12,0,False,False,18,2012-01-07 08:31:41,830105
129,patch-3.1.9,651,2,5,8,12,0,False,False,18,2012-01-13 04:21:00,874824
130,patch-3.10.1,25,0,0,0,0,0,False,False,0,2013-07-14 02:51:35,16388
131,patch-3.10.10,632,16,36,79,158,0,False,False,53,2013-08-30 01:58:33,842749
132,patch-3.10.100,3512,57,272,520,1141,84,False,True,159,2016-03-10 07:44:27,5860382
133,patch-3.10.101,3526,57,272,520,1141,84,False,True,159,2016-03-16 23:50:00,5895586
134,patch-3.10.102,3589,57,273,522,1146,84,False,True,163,2016-06-13 22:43:44,6019030
135,patch-3.10.103,3654,58,275,530,1161,84,False,True,163,2016-08-29 02:13:59,6213848
136,patch-3.10.104,3659,58,275,530,1161,84,False,True,163,2016-10-21 18:30:39,6225796
137,patch-3.10.105,3799,58,276,532,1173,84,False,True,163,2017-02-10 18:54:29,6537849
138,patch-3.10.106,3910,58,278,532,1228,88,False,True,163,2017-06-16 02:50:38,6778167
139,patch-3.10.107,4016,60,284,542,1276,94,False,True,172,2017-06-27 18:08:51,7014320
140,patch-3.10.108,4070,60,287,546,1298,94,False,True,172,2017-11-05 15:13:22,7111877
141,patch-3.10.11,668,16,36,79,158,0,False,False,53,2013-09-08 13:32:56,876866
142,patch-3.10.12,708,16,36,79,158,0,False,False,53,2013-09-14 22:01:44,920274
143,patch-3.10.13,811,16,36,79,158,0,False,False,53,2013-09-27 08:23:58,1042872
144,patch-3.10.14,851,16,36,79,158,0,False,False,53,2013-10-02 00:26:13,1125871
145,patch-3.10.15,892,24,61,141,284,13,False,False,53,2013-10-05 22:16:51,1176674
146,patch-3.10.16,984,24,61,141,283,13,False,False,53,2013-10-14 07:16:56,1307496
147,patch-3.10.17,1029,24,61,141,283,13,False,False,53,2013-10-19 01:46:46,1423600
148,patch-3.10.18,1069,24,65,147,295,13,False,False,53,2013-11-04 20:44:39,1488673
149,patch-3.10.19,1120,24,73,149,320,13,False,False,54,2013-11-13 11:10:56,1568905
150,patch-3.10.2,106,0,0,0,0,0,False,False,0,2013-07-22 09:38:06,97050
151,patch-3.10.20,1134,24,73,149,320,13,False,False,54,2013-11-21 04:46:58,1602260
152,patch-3.10.21,1190,24,73,149,320,13,False,False,54,2013-11-30 04:11:28,1686398
153,patch-3.10.22,1343,27,87,169,396,20,False,False,54,2013-12-05 03:49:41,1912686
154,patch-3.10.23,1412,27,87,169,396,20,False,False,54,2013-12-09 01:17:41,2026955
155,patch-3.10.24,1466,27,87,169,396,20,False,False,54,2013-12-12 14:46:15,2086856
156,patch-3.10.25,1519,31,107,192,499,20,False,False,76,2013-12-20 23:59:43,2160906
157,patch-3.10.26,1595,31,107,192,499,20,False,False,76,2014-01-10 04:55:58,2278575
158,patch-3.10.27,1625,31,107,192,499,20,False,False,76,2014-01-16 07:43:33,2334104
159,patch-3.10.28,1641,32,121,203,525,20,False,False,76,2014-01-26 01:25:15,2356039
160,patch-3.10.29,1702,32,123,206,547,20,False,False,76,2014-02-07 03:50:58,2469674
161,patch-3.10.3,203,1,5,9,15,0,False,False,24,2013-07-26 06:21:04,230581
162,patch-3.10.30,1752,40,146,236,694,68,False,True,76,2014-02-14 06:05:56,2572319
163,patch-3.10.31,1766,40,146,236,694,68,False,True,76,2014-02-21 03:18:34,2595529
