,patchName,count,diffCount,editCount,subCount,addCount,annotationCount,haveTime,haveIndex,maxChangeLine,editTime,size
0,patch-2.6.0,43,0,0,0,0,0,False,False,0,2003-12-18 11:00:08,34410
1,patch-2.6.1,998,2,11,2920,571,16,True,False,2601,2004-01-09 15:00:25,4466134
2,patch-2.6.10,5384,16,150,483,2062,96,True,False,719,2004-12-25 05:37:55,28276031
3,patch-2.6.11,5662,10,68,65,544,74,True,False,349,2005-03-02 15:39:33,22588418
4,patch-2.6.11.1,3,0,0,0,0,0,False,False,0,2005-03-05 01:27:15,1483
5,patch-2.6.11.10,65,0,0,0,0,0,False,False,0,2005-05-17 02:14:17,60884
6,patch-2.6.11.11,82,0,0,0,0,0,False,False,0,2005-05-27 13:51:21,75804
7,patch-2.6.11.12,93,0,0,0,0,0,False,False,0,2005-06-12 10:49:29,84064
8,patch-2.6.11.2,4,0,0,0,0,0,False,False,0,2005-03-13 13:16:32,2098
9,patch-2.6.11.3,21,0,0,0,0,0,False,False,0,2005-03-13 14:45:03,15543
10,patch-2.6.11.4,23,0,0,0,0,0,False,False,0,2005-03-16 08:09:56,16315
11,patch-2.6.11.5,31,0,0,0,0,0,False,False,0,2005-03-19 14:35:10,22246
12,patch-2.6.11.6,36,0,0,0,0,0,False,False,0,2005-03-26 11:28:57,29603
13,patch-2.6.11.7,47,0,0,0,0,0,False,False,0,2005-04-08 02:58:58,40740
14,patch-2.6.11.8,59,0,0,0,0,0,False,False,0,2005-04-30 09:43:34,51527
15,patch-2.6.11.9,62,0,0,0,0,0,False,False,0,2005-05-12 06:43:53,54940
16,patch-2.6.12.1,4,0,0,0,0,0,False,False,0,2005-06-23 03:38:25,3698
17,patch-2.6.12.2,11,0,0,0,0,0,False,False,0,2005-06-30 07:06:01,11946
18,patch-2.6.12.3,26,0,0,0,0,0,False,False,0,2005-07-16 05:34:46,30086
19,patch-2.6.12.4,39,0,0,0,0,0,False,False,0,2005-08-05 15:10:32,36963
20,patch-2.6.12.5,52,0,0,0,0,0,False,False,0,2005-08-15 08:21:59,47362
21,patch-2.6.12.6,58,0,0,0,0,0,False,False,0,2005-08-30 00:57:12,50947
22,patch-2.6.13.1,16,1,5,3,9,0,False,False,12,2005-09-10 10:44:30,12911
23,patch-2.6.2,2370,1,1,1,1,0,True,False,2,2004-02-04 11:45:45,12281798
24,patch-2.6.3,1906,2,3,5,5,0,True,False,6,2004-02-18 12:00:15,11711864
25,patch-2.6.4,3185,10,20,139,464,49,True,False,153,2004-03-11 10:56:23,12885227
26,patch-2.6.5,2261,8,14,6,278,14,True,False,193,2004-04-04 11:38:58,7302416
27,patch-2.6.6,2642,20,26,5,4044,465,True,False,2184,2004-05-10 10:33:50,13517686
28,patch-2.6.7,3772,5,26,51,71,0,True,False,65,2004-06-16 13:21:10,17488250
29,patch-2.6.8,4604,13,25,49,2347,85,True,False,915,2004-08-14 13:39:58,19749435
30,patch-2.6.9,4712,14,24,22,1521,42,True,False,1208,2004-10-19 05:57:32,17855327
31,patch-3.0.10,846,3,4,92,8,0,False,False,92,2011-11-22 07:11:23,1240766
32,patch-3.0.100,2554,12,24,139,83,0,False,False,92,2013-10-14 06:12:28,4372702
33,patch-3.0.101,2557,12,24,139,83,0,False,False,92,2013-10-22 19:22:16,4375714
34,patch-3.0.11,881,3,4,92,8,0,False,False,92,2011-11-27 20:29:19,1298645
35,patch-3.0.12,881,3,4,92,8,0,False,False,92,2011-11-29 06:58:55,1297859
36,patch-3.0.13,937,4,5,97,15,0,False,False,92,2011-12-10 01:17:04,1373867
37,patch-3.0.14,970,4,5,97,15,0,False,False,92,2011-12-22 05:51:21,1433251
