,patchName,count,diffCount,editCount,subCount,addCount,annotationCount,haveTime,haveIndex,maxChangeLine,editTime,size
0,patch-2.6.0,43,2,3,3,10,0,True,False,10,2003-12-18 11:00:08,34410
1,patch-2.6.1,998,34,107,282,509,36,True,False,146,2004-01-09 15:00:25,4466134
2,patch-2.6.10,5384,106,392,1882,3740,326,True,False,969,2004-12-25 05:37:55,28276031
3,patch-2.6.11,5662,162,722,3614,8613,774,True,False,1106,2005-03-02 15:39:33,22588418
4,patch-2.6.11.1,3,0,0,0,0,0,False,False,0,2005-03-05 01:27:15,1483
5,patch-2.6.11.10,65,0,0,0,0,0,False,False,0,2005-05-17 02:14:17,60884
6,patch-2.6.11.11,82,3,5,31,41,2,False,False,59,2005-05-27 13:51:21,75804
7,patch-2.6.11.12,93,4,8,34,44,2,False,False,59,2005-06-12 10:49:29,84064
8,patch-2.6.11.2,4,0,0,0,0,0,False,False,0,2005-03-13 13:16:32,2098
9,patch-2.6.11.3,21,0,0,0,0,0,False,False,0,2005-03-13 14:45:03,15543
10,patch-2.6.11.4,23,0,0,0,0,0,False,False,0,2005-03-16 08:09:56,16315
11,patch-2.6.11.5,31,0,0,0,0,0,False,False,0,2005-03-19 14:35:10,22246
12,patch-2.6.11.6,36,0,0,0,0,0,False,False,0,2005-03-26 11:28:57,29603
13,patch-2.6.11.7,47,0,0,0,0,0,False,False,0,2005-04-08 02:58:58,40740
14,patch-2.6.11.8,59,0,0,0,0,0,False,False,0,2005-04-30 09:43:34,51527
15,patch-2.6.11.9,62,0,0,0,0,0,False,False,0,2005-05-12 06:43:53,54940
16,patch-2.6.12.1,4,0,0,0,0,0,False,False,0,2005-06-23 03:38:25,3698
17,patch-2.6.12.2,11,1,1,1,1,0,False,False,2,2005-06-30 07:06:01,11946
18,patch-2.6.12.3,26,1,1,1,1,0,False,False,2,2005-07-16 05:34:46,30086
19,patch-2.6.12.4,39,1,1,1,1,0,False,False,2,2005-08-05 15:10:32,36963
20,patch-2.6.12.5,52,2,2,2,2,0,False,False,2,2005-08-15 08:21:59,47362
21,patch-2.6.12.6,58,2,2,2,2,0,False,False,2,2005-08-30 00:57:12,50947
22,patch-2.6.13.1,16,0,0,0,0,0,False,False,0,2005-09-10 10:44:30,12911
23,patch-2.6.2,2370,78,236,945,1544,142,True,False,282,2004-02-04 11:45:45,12281798
24,patch-2.6.3,1906,28,58,131,223,46,True,False,42,2004-02-18 12:00:15,11711864
25,patch-2.6.4,3185,80,288,1339,5610,628,True,False,551,2004-03-11 10:56:23,12885227
26,patch-2.6.5,2261,57,199,408,1601,78,True,False,526,2004-04-04 11:38:58,7302416
27,patch-2.6.6,2642,91,437,3095,3021,240,True,False,556,2004-05-10 10:33:50,13517686
28,patch-2.6.7,3772,93,417,1564,3184,297,True,False,1016,2004-06-16 13:21:10,17488250
29,patch-2.6.8,4604,113,411,1451,6278,566,True,False,1055,2004-08-14 13:39:58,19749435
30,patch-2.6.9,4712,119,441,1283,5720,775,True,False,572,2004-10-19 05:57:32,17855327
31,patch-3.0.10,846,26,66,134,398,28,False,False,83,2011-11-22 07:11:23,1240766
32,patch-3.0.100,2554,84,393,1244,2075,74,False,True,327,2013-10-14 06:12:28,4372702
33,patch-3.0.101,2557,84,393,1244,2075,74,False,True,327,2013-10-22 19:22:16,4375714
34,patch-3.0.11,881,26,66,134,398,28,False,False,83,2011-11-27 20:29:19,1298645
35,patch-3.0.12,881,26,66,134,398,28,False,False,83,2011-11-29 06:58:55,1297859
36,patch-3.0.13,937,28,69,134,402,28,False,False,83,2011-12-10 01:17:04,1373867
37,patch-3.0.14,970,30,79,156,441,29,False,False,83,2011-12-22 05:51:21,1433251
38,patch-3.0.15,969,30,79,156,441,29,False,False,83,2012-01-04 03:00:36,1432765
39,patch-3.0.16,1026,35,91,432,451,30,False,True,164,2012-01-07 08:30:31,1533668
40,patch-3.0.17,1053,35,91,432,451,30,False,True,164,2012-01-13 04:20:05,1573115
41,patch-3.0.18,1126,37,98,450,514,35,False,True,164,2012-01-26 09:34:22,1678607
42,patch-3.0.19,1152,38,100,456,514,35,False,True,164,2012-02-04 01:37:22,1746165
43,patch-3.0.20,1156,38,100,456,514,35,False,True,164,2012-02-07 02:04:20,1752618
